Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1890,2,Estratovolcán,False,False,Makian (Halmahera-Indonesia)
1902,4,Estratovolcán,True,False,Pelee (W Indies)
1902,6,Estratovolcán,False,False,Santa Maria (Guatemala)
1936,3,Volcán complejo,False,False,Asama (Honshu-Japan)
1937,2,Estratovolcán,False,False,Llaima (Chile-C)
1943,3,Volcán en escudo,False,False,"Azul, Cerro (Galapagos)"
1951,4,Estratovolcán,False,False,Lamington (New Guinea)
1970,,Caldera,False,False,Campi Flegrei (Italy)
1981,3,Estratovolcán,False,False,Semeru (Java)
1983,1,Volcán complejo,True,False,Iliwerung (Lesser Sunda Is)
1985,1,Estratovolcán,False,False,Etna (Italy)
1990,3,Estratovolcán,False,False,Sabancaya (Peru)
1990,,Estratovolcán,False,False,Nyiragongo (Africa-C)
1997,3,Estratovolcán,False,False,Semeru (Java)
1999,3,Estratovolcán,True,False,Soufriere Hills (W Indies)
2000,2,Estratovolcán,False,False,Merapi (Java)
1593,5,Estratovolcán,False,False,Raung (Java)
1609,,Cono piroclástico,False,False,Tengchong (China-S)
1692,4,Estratovolcán,False,False,Serua (Banda Sea)
1718,2,Estratovolcán,False,False,Pico (Azores)
1846,,Caldera,False,False,Taupo (New Zealand)
1866,2,Volcán en escudo,False,False,Santorini (Greece)
1877,0,Volcán en escudo,True,True,Mauna Loa (Hawaiian Is)
1883,3,Cono de lava,False,False,Bagana (Bougainville-SW Paci)
1886,4,Volcán en escudo,False,False,Niuafo'ou (Tonga-SW Pacific)
1896,2,Volcán en escudo,False,False,Kirishima (Kyushu-Japan)
1902,4,Estratovolcán,True,False,Pelee (W Indies)
1914,,Volcán en escudo,False,False,Aoba (Vanuatu-SW Pacific)
1923,1,Estratovolcán,False,False,Papandayan (Java)
1928,2,Volcán en escudo,False,False,Santorini (Greece)
1947,,Estratovolcán,False,False,Akagi (Honshu-Japan)
1963,5,Estratovolcán,True,False,Agung (Lesser Sunda Is)
1963,2,Estratovolcán,False,False,Semeru (Java)
1965,4,Estratovolcán,True,False,Taal (Luzon-Philippines)
1973,3,volcán submarino,False,False,Vestmannaeyjar (Iceland-S)
1974,3,Estratovolcán,False,False,Karangetang [Api Siau] (Sangihe Is-Indonesia)
1975,0,Volcán en escudo,True,True,Kilauea (Hawaiian Is)
1982,5,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,3,Maar,False,False,Oku Volc Field (Africa-W)
1992,3,Estratovolcán,False,False,Semeru (Java)
1994,3,Estratovolcán,False,False,Yasur (Vanuatu-SW Pacific)
1998,,Estratovolcán,False,False,San Cristobal (Nicaragua)
2004,2,Estratovolcán,False,False,Tengger Caldera (Java)
2007,,Estratovolcán,False,False,Huila (Colombia)
2008,,Caldera,False,False,Chaiten (Chile-S)
2008,3,Estratovolcán,True,False,Kasatochi (Aleutian Is)
2017,,Estratovolcán,False,False,Merapi (Java)
-1610,7,Volcán en escudo,True,True,Santorini (Greece)
